Wavelength	Intensity
[nm]	[uJ]

3.393242799999999875e+02	0.000000000000000000e+00
3.397027618141544849e+02	0.000000000000000000e+00
3.400812072492360016e+02	0.000000000000000000e+00
3.404596162941714965e+02	0.000000000000000000e+00
3.408379889378879852e+02	0.000000000000000000e+00
3.412163251693124835e+02	0.000000000000000000e+00
3.415946249773720069e+02	0.000000000000000000e+00
3.419728883509934576e+02	0.000000000000000000e+00
3.423511152791040217e+02	0.000000000000000000e+00
3.427293057506304308e+02	-0.000000000000000000e+00
3.431074597545000415e+02	0.000000000000000000e+00
3.434855772796394717e+02	0.000000000000000000e+00
3.438636583149759076e+02	-0.000000000000000000e+00
3.442417028494365354e+02	0.000000000000000000e+00
3.446197108719479729e+02	0.000000000000000000e+00
3.449976823714375200e+02	0.000000000000000000e+00
3.453756173368319651e+02	0.000000000000000000e+00
3.457535157570584943e+02	0.000000000000000000e+00
3.461313776210440096e+02	-0.000000000000000000e+00
3.465092029177155268e+02	-0.000000000000000000e+00
3.468869916359999479e+02	0.000000000000000000e+00
3.472647437648245159e+02	-0.000000000000000000e+00
3.476424592931160191e+02	0.000000000000000000e+00
3.480201382098014733e+02	-0.000000000000000000e+00
3.483977805038080078e+02	-2.344827844785144089e-07
3.487753861640624677e+02	-2.201725068946722543e-07
3.491529551794920394e+02	2.897910082524167777e-08
3.495304875390234542e+02	-6.686318034054316334e-08
3.499079832315840122e+02	4.182360497387406381e-08
3.502854422461004447e+02	3.601024600050857233e-08
3.506628645715000516e+02	3.298226782883183666e-08
3.510402501967095077e+02	1.442239566781597941e-09
3.514175991106560559e+02	-4.526564359492800843e-08
3.517949113022664847e+02	-4.446976396721781791e-08
3.521721867604679232e+02	6.188039870453655156e-08
3.525494254741875011e+02	1.066720878468235069e-07
3.529266274323519497e+02	7.591902587132279932e-08
3.533037926238885120e+02	-2.819442172228373745e-08
3.536809210377239765e+02	3.060227150953684042e-08
3.540580126627855293e+02	1.331995462132808273e-09
3.544350674879999588e+02	3.012160605221124666e-08
3.548120855022945079e+02	-1.309627688135626637e-08
3.551890666945959651e+02	-7.036483662244463201e-08
3.555660110538314598e+02	-4.170114372393615695e-08
3.559429185689280075e+02	-2.660084531417986069e-08
3.563197892288124535e+02	-5.308371623839695602e-08
3.566966230224119840e+02	-5.175725285352367381e-08
3.570734199386534442e+02	4.012955328098876990e-08
3.574501799664639634e+02	-4.947689566847485821e-08
3.578269030947704437e+02	7.123091967611298822e-07
3.582035893125000143e+02	1.253273341309760579e-07
3.585802386085795206e+02	7.555685733190713758e-08
3.589568509719359781e+02	2.550339978339213089e-08
3.593334263914964595e+02	-1.183197927965272875e-07
3.597099648561880372e+02	2.450311742262297498e-08
3.600864663549374427e+02	4.820373786009801846e-08
3.604629308766720328e+02	3.640633505911503767e-08
3.608393584103184821e+02	-1.072457174802705518e-08
3.612157489448039200e+02	-1.070111048098663967e-08
3.615921024690555328e+02	-3.425471860415762580e-08
3.619684189719999381e+02	1.175075962503052101e-07
3.623446984425644928e+02	6.972908088732498198e-08
3.627209408696759283e+02	1.229096167680160727e-08
3.630971462422614877e+02	1.006757399839985989e-09
3.634733145492479593e+02	1.215557474675750401e-08
3.638494457795624726e+02	9.483382260798680641e-10
3.642255399221319863e+02	-6.500690644334839766e-08
3.646015969658835161e+02	2.307663529522161582e-08
3.649776168997440209e+02	1.022813324640847207e-09
3.653535997126404595e+02	-9.992359996689024326e-09
3.657295453935000182e+02	-9.929854701780711658e-09
3.661054539312494285e+02	-4.247049016419036186e-08
3.664813253148159902e+02	3.375532168273337745e-08
3.668571595331264348e+02	-7.551292165311301312e-08
3.672329565751080054e+02	4.437067263027989156e-08
3.676087164296874903e+02	-2.050838685825638331e-08
3.679844390857920189e+02	-8.465905036863531636e-08
3.683601245323484932e+02	-9.593407594016403258e-09
3.687357727582839857e+02	1.127462000774591581e-08
3.691113837525254553e+02	8.609981159290481152e-10
3.694869575039999745e+02	-8.962893634285546583e-08
3.698624940016345022e+02	1.080064037707712761e-08
3.702379932343559403e+02	-3.816754602940220328e-08
3.706134551910914752e+02	4.876578835096164304e-08
3.709888798607680087e+02	1.044921695541530262e-07
3.713642672323124998e+02	3.810370200751944159e-08
3.717396172946519641e+02	-6.394684155124142117e-08
3.721149300367134742e+02	-4.481767815221398582e-08
3.724902054474239890e+02	1.901171900564437762e-08
3.728654435157105240e+02	-8.173176636437089106e-09
3.732406442305000382e+02	7.822663338270520375e-10
3.736158075807195473e+02	-8.783144382722176617e-08
3.739909335552960101e+02	5.358917851079770134e-08
3.743660221431564423e+02	-2.522070051960651992e-08
3.747410733332279733e+02	-7.861108003149203711e-09
3.751160871144374482e+02	-1.635820880398771897e-08
3.754910634757119965e+02	1.523856815571433389e-07
3.758660024059784632e+02	5.904303477133449184e-08
3.762409038941640347e+02	-3.228132791961259127e-08
3.766157679291954992e+02	8.891715518135939679e-09
3.769905944999999861e+02	8.788100531284539489e-09
3.773653835955044542e+02	-4.688119076511813370e-08
3.777401352046360330e+02	-4.600679687321617573e-08
3.781148493163215107e+02	1.604350377636496695e-08
3.784895259194879600e+02	6.126510200223623226e-08
3.788641650030625101e+02	-2.173349886540538310e-08
3.792387665559719494e+02	-4.350553771978302273e-08
3.796133305671435210e+02	1.522016971859029478e-08
3.799878570255040131e+02	7.963984413682666523e-08
3.803623459199804984e+02	-4.870749594705010429e-08
3.807367972394999924e+02	-1.326095225593053519e-08
3.811112109729895110e+02	7.455765013175357870e-09
3.814855871093760129e+02	-6.161150069835617778e-09
3.818599256375865139e+02	2.076809826700700889e-08
3.822342265465480295e+02	-1.933029576644989850e-08
3.826084898251874620e+02	-1.259353400322027086e-08
3.829827154624319974e+02	7.111049250332982315e-09
3.833569034472084809e+02	3.294041458166764504e-08
3.837310537684439851e+02	1.341962098114937971e-08
3.841051664150654688e+02	1.964911756248384922e-08
3.844792413760000045e+02	-5.736976034920629943e-09
3.848532786401744374e+02	-6.246375078966522131e-08
3.852272781965160107e+02	2.564455411886374880e-08
3.856012400339514556e+02	5.033812249409969903e-08
3.859751641414080154e+02	-4.260019194268183562e-08
3.863490505078124784e+02	-3.003227483919805314e-08
3.867228991220919170e+02	1.267171908938423934e-08
3.870967099731734606e+02	-1.149174851083718653e-08
3.874704830499839545e+02	2.439884799879568143e-08
3.878442183414504711e+02	-1.127948087233902975e-08
3.882179158364999694e+02	5.317657635140376199e-10
3.885915755240595217e+02	5.843105675324587952e-08
3.889651973930559734e+02	-5.638422962500969754e-08
3.893387814324165106e+02	6.173351636229797470e-09
3.897123276310680353e+02	-1.071208489828404442e-08
3.900858359779375064e+02	2.822787579721889288e-08
3.904593064619519396e+02	2.805294084605319867e-08
3.908327390720384642e+02	5.935883768562101210e-09
3.912061337971239823e+02	-4.261746277842302583e-08
3.915794906261354527e+02	-4.846123277984439547e-09
3.919528095479999479e+02	-3.122675506483878090e-08
3.923260905516444836e+02	-3.096322469966809664e-08
3.926993336259960188e+02	2.122098087964823757e-08
3.930725387599815122e+02	3.641095323275727794e-08
3.934457059425279795e+02	1.060392140325944229e-08
3.938188351625624364e+02	-2.961623204394670947e-08
3.941919264090120123e+02	-4.511688284833404450e-09
3.945649796708034955e+02	-2.392930304799506000e-08
3.949379949368640155e+02	3.422695938155450397e-08
3.953109721961204741e+02	-4.342472454831840049e-09
3.956839114375000008e+02	-2.314311449039147260e-08
3.960568126499294976e+02	1.902188272673870978e-08
3.964296758223359802e+02	6.467360639568168796e-08
3.968025009436465211e+02	3.220952713148771697e-08
3.971752880027879655e+02	2.281533572091236562e-08
3.975480369886874996e+02	3.154040052594710747e-08
3.979207478902720254e+02	9.210018946082775039e-09
3.982934206964685586e+02	-2.141089699986971165e-08
3.986660553962040012e+02	3.926198913300854237e-08
3.990386519784054826e+02	3.882496021838776424e-10
3.994112104319999617e+02	4.621997796012561883e-09
3.997837307459144540e+02	5.514126195790710933e-08
4.001562129090759754e+02	-7.995516799622427543e-09
4.005286569104114847e+02	-1.618654362751964523e-08
4.009010627388479975e+02	8.591708888322009654e-09
4.012734303833124727e+02	-1.595044312676279462e-08
4.016457598327320397e+02	1.655739211715774245e-08
4.020180510760334869e+02	1.242327674459248493e-08
4.023903041021440004e+02	-7.639505304778040446e-09
4.027625188999904822e+02	-4.344277393989099649e-08
4.031346954584999480e+02	3.207075201182771344e-08
4.035068337665994704e+02	2.012261949328732054e-08
4.038789338132160083e+02	3.176766174887482346e-08
4.042509955872764635e+02	1.599515077963026752e-08
4.046230190777079656e+02	1.596258335505797198e-08
4.049950042734374733e+02	8.123803778368364212e-09
4.053669511633919456e+02	-3.834472589763327138e-08
4.057388597364985117e+02	-1.120017258740793191e-08
4.061107299816839600e+02	4.169612897662661522e-09
4.064825618878755336e+02	3.452031166929243103e-10
4.068543554439999639e+02	1.550239625308761727e-08
4.072261106389844940e+02	2.672332916909984387e-08
4.075978274617559691e+02	7.817983968459198708e-09
4.079695059012415186e+02	7.784042834557007816e-09
4.083411459463679876e+02	-2.553229264070836430e-08
4.087127475860624486e+02	7.694049168880090656e-09
4.090843108092520310e+02	7.661942225095750704e-09
4.094558356048634664e+02	1.853212339537834314e-08
4.098273219618239978e+02	4.744415514911657460e-08
